"","feature","frequency"
"927","he_says",68
"928","good_luck",68
"929","the_school",68
"930","plans_to",68
"931","going_on",67
"932","pretty_much",67
"933","my_heart",67
"934","with_all",67
"935","about_this",67
"936","i_mean",67
"937","is_more",67
"938","his_wife",67
"939","waiting_for",67
"940","your_own",67
"941","i_say",67
"942","my_mind",67
"943","just_as",67
"944","the_road",67
"945","what_to",67
"946","or_not",67
"947","and_as",67
"948","so_the",67
"949","to_run",67
"950","there's_a",67
"951","deal_with",67
"952","director_of",67
"953","the_federal",67
"954","wait_for",66
"955","we_don't",66
"956","on_our",66
"957","next_year",66
"958","you_see",66
"959","miss_you",66
"960","to_add",66
"961","at_my",66
"962","said_she",66
"963","is_there",66
"964","them_and",66
"965","which_was",66
"966","we_should",65
"967","how_you",65
"968","we_got",65
"969","would_you",65
"970","to_create",65
"971","happy_to",65
"972","and_are",65
"973","to_change",65
"974","the_things",65
"975","us_to",65
"976","lack_of",65
"977","me_in",65
"978","with_some",65
"979","was_an",65
"980","and_when",65
"981","me_up",65
"982","order_to",65
"983","and_on",65
"984","the_entire",64
"985","what_he",64
"986","you_too",64
"987","people_to",64
"988","and_just",64
"989","watching_the",64
"990","in_to",64
"991","i_always",64
"992","go_on",64
"993","up_at",64
"994","the_good",64
"995","piece_of",64
"996","out_a",64
"997","and_with",64
"998","not_going",64
"999","behind_the",64
"1000","to_spend",63
"1001","that_if",63
"1002","an_hour",63
"1003","had_no",63
"1004","but_in",63
"1005","made_the",63
"1006","he_will",63
"1007","same_time",63
"1008","the_board",63
"1009","look_like",63
"1010","time_of",63
"1011","took_a",63
"1012","needed_to",63
"1013","on_and",63
"1014","that_can",63
"1015","million_in",63
"1016","the_third",62
"1017","yes_i",62
"1018","it_could",62
"1019","may_not",62
"1020","it_seems",62
"1021","after_all",62
"1022","the_government",62
"1023","the_real",62
"1024","that_one",62
"1025","looking_at",62
"1026","they_do",62
"1027","can_see",62
"1028","a_full",62
"1029","in_love",62
"1030","last_month",62
"1031","the_field",62
"1032","do_this",62
"1033","he_could",62
"1034","we_want",61
"1035","day_to",61
"1036","a_person",61
"1037","there_and",61
"1038","but_it's",61
"1039","before_i",61
"1040","but_she",61
"1041","while_i",61
"1042","the_problem",61
"1043","i_wonder",61
"1044","home_and",61
"1045","of_life",61
"1046","find_out",61
"1047","a_month",61
"1048","in_addition",61
"1049","ability_to",61
"1050","more_of",61
"1051","a_different",61
"1052","why_i",61
"1053","see_that",61
"1054","and_had",61
"1055","proud_of",60
"1056","the_name",60
"1057","for_them",60
"1058","with_no",60
"1059","come_back",60
"1060","would_love",60
"1061","a_statement",60
"1062","the_front",60
"1063","it's_been",60
"1064","social_media",60
"1065","the_family",60
"1066","it_just",60
"1067","has_the",60
"1068","a_woman",60
"1069","it_can",60
"1070","and_said",60
"1071","have_some",60
"1072","what_was",60
"1073","have_any",60
"1074","which_i",60
"1075","version_of",60
"1076","believe_that",60
"1077","was_to",60
"1078","her_to",60
"1079","set_up",60
"1080","not_even",59
"1081","life_and",59
"1082","the_weekend",59
"1083","with_them",59
"1084","we_get",59
"1085","you_love",59
"1086","it_as",59
"1087","won_the",59
"1088","work_with",59
"1089","a_single",59
"1090","is_this",59
"1091","so_excited",59
"1092","the_police",59
"1093","since_i",59
"1094","it_doesn't",59
"1095","the_air",59
"1096","the_money",59
"1097","the_lord",59
"1098","go_back",59
"1099","for_example",59
"1100","throughout_the",59
"1101","all_about",58
"1102","out_with",58
"1103","list_of",58
"1104","i_remember",58
"1105","use_of",58
"1106","and_no",58
"1107","know_you",58
"1108","my_head",58
"1109","little_bit",58
"1110","a_guy",58
"1111","be_at",58
"1112","i_haven't",58
"1113","life_is",58
"1114","to_join",58
"1115","we_could",58
"1116","could_not",58
"1117","rt_i",58
"1118","on_top",58
"1119","san_francisco",58
"1120","a_beautiful",58
"1121","year_and",58
"1122","me_too",58
"1123","keep_the",58
"1124","over_a",58
"1125","been_in",58
"1126","is_about",57
"1127","opportunity_to",57
"1128","was_that",57
"1129","sense_of",57
"1130","thing_i",57
"1131","the_worst",57
"1132","did_i",57
"1133","is_very",57
"1134","to_sleep",57
"1135","a_large",57
"1136","a_real",57
"1137","it_makes",57
"1138","one_that",57
"1139","might_have",57
"1140","on_sunday",57
"1141","called_the",57
"1142","think_the",57
"1143","years_of",57
"1144","of_new",57
"1145","member_of",57
"1146","right_to",56
"1147","a_wonderful",56
"1148","long_as",56
"1149","see_how",56
"1150","and_see",56
"1151","end_up",56
"1152","so_you",56
"1153","put_on",56
"1154","give_me",56
"1155","told_the",56
"1156","would_not",56
"1157","the_group",56
"1158","it's_the",56
"1159","that_were",56
"1160","pay_for",56
"1161","the_film",56
"1162","you_had",56
"1163","or_two",55
"1164","day_in",55
"1165","a_major",55
"1166","were_in",55
"1167","to_call",55
"1168","on_friday",55
"1169","about_what",55
"1170","wake_up",55
"1171","of_which",55
"1172","you_might",55
"1173","from_to",55
"1174","i_read",55
"1175","the_white",55
"1176","not_that",55
"1177","went_on",55
"1178","the_latest",55
"1179","us_and",55
"1180","to_ask",55
"1181","shout_out",55
"1182","i_heard",55
"1183","i'm_sure",55
"1184","welcome_to",55
"1185","much_more",55
"1186","among_the",55
"1187","while_the",55
"1188","as_she",54
"1189","now_and",54
"1190","your_life",54
"1191","is_like",54
