"","feature","frequency"
"690","with_you",126
"691","and_with",60
"692","with_some",65
"693","is_very",57
"694","see_that",61
"695","amount_of",73
"696","it_but",78
"697","of_god",41
"698","like_i",78
"699","we_got",65
"700","what_he",64
"701","with_all",67
"702","this_post",35
"703","and_more",96
"704","we_do",84
"705","now_that",79
"706","to_it",72
"707","chance_to",110
"708","love_to",106
"709","i_never",72
"710","or_not",67
"711","being_a",86
"712","on_top",58
"713","than_a",111
"714","said_that",95
"715","for_more",113
"716","less_than",93
"717","we_need",106
"718","with_their",86
"719","but_that",76
"720","made_it",93
"721","me_the",89
"722","for_his",102
"723","dont_know",50
"724","as_she",52
"725","having_a",109
"726","what_do",84
"727","for_an",110
"728","i_mean",67
"729","to_an",87
"730","in_one",88
"731","even_the",49
"732","to_win",120
"733","your_own",67
"734","like_that",104
"735","here_are",54
"736","you_like",87
"737","as_if",68
"738","think_it",75
"739","down_and",68
"740","to_stay",79
"741","these_are",52
"742","got_to",92
"743","they_had",75
"744","no_matter",75
"745","just_like",82
"746","there_and",61
"747","know_i",93
"748","a_time",74
"749","for_example",58
"750","is_still",78
"751","to_stop",77
"752","then_the",50
"753","the_perfect",46
"754","now_and",54
"755","close_to",74
"756","and_your",71
"757","they_can",86
"758","that_if",63
"759","because_they",69
"760","not_in",73
"761","down_to",84
"762","do_a",70
"763","began_to",44
"764","to_bring",76
"765","because_it",76
"766","take_the",83
"767","in_it",82
"768","see_what",74
"769","and_i'm",98
"770","in_love",62
"771","told_me",77
"772","time_of",63
"773","believe_that",60
"774","was_to",60
"775","and_on",65
"776","have_you",104
"777","is_now",89
"778","don't_know",139
"779","is_on",108
"780","the_man",80
"781","to_spend",63
"782","a_way",84
"783","thinking_about",68
"784","my_friend",77
"785","even_more",70
"786","where_we",46
"787","for_our",81
"788","all_over",74
"789","his_own",71
"790","to_add",66
"791","talking_about",80
"792","front_of",75
"793","it_makes",57
"794","us_and",55
"795","to_buy",78
"796","or_even",37
"797","interested_in",68
"798","i_felt",45
"799","we_want",61
"800","can_you",95
"801","what_was",60
"802","needed_to",63
"803","out_in",83
"804","piece_of",64
"805","read_the",49
"806","day_of",85
"807","her_to",60
"808","who_has",105
"809","check_out",118
"810","but_a",76
"811","much_more",55
"812","high_school",143
"813","the_film",56
"814","working_on",100
"815","and_one",77
"816","one_day",81
"817","but_we",98
"818","all_about",58
"819","you_dont",44
"820","no_longer",73
"821","hope_you",97
"822","the_word",80
"823","and_will",82
"824","every_day",93
"825","it_as",59
"826","a_chance",106
"827","my_mind",67
"828","i_loved",45
"829","i_took",48
"830","love_the",117
"831","how_the",75
"832","the_future",78
"833","the_morning",72
"834","just_the",54
"835","a_nice",75
"836","to_move",69
"837","the_middle",74
"838","had_no",63
"839","do_this",62
"840","over_and",48
"841","the_very",41
"842","type_of",78
"843","the_idea",70
"844","this_i",43
"845","here_in",78
"846","where_he",67
"847","that_one",62
"848","to_that",82
"849","it_seems",62
"850","that_has",96
"851","that_have",53
"852","the_moment",54
"853","talk_about",100
"854","to_let",50
"855","but_in",63
"856","we_could",58
"857","and_when",65
"858","not_just",79
"859","to_play",150
"860","to_change",65
"861","it_can",60
"862","should_have",94
"863","we_went",36
"864","because_he",71
"865","the_company",140
"866","with_that",78
"867","she_said",172
"868","that_my",46
"869","the_more",82
"870","did_i",57
"871","to_watch",104
"872","the_case",83
"873","throughout_the",57
"874","for_some",86
"875","wants_to",91
"876","use_of",58
"877","tell_me",86
"878","and_just",64
"879","is_more",67
"880","towards_the",29
"881","time_in",83
"882","my_head",58
"883","before_i",58
"884","a_single",59
"885","but_also",47
"886","the_road",67
"887","to_him",69
"888","better_than",97
"889","was_very",38
"890","my_little",41
"891","but_its",45
"892","the_beginning",54
"893","year_and",58
"894","to_run",67
"895","you_i",101
"896","you_the",77
"897","was_on",70
"898","this_point",36
"899","more_of",61
"900","the_city",177
"901","the_truth",47
"902","over_a",58
"903","do_that",77
"904","a_whole",71
"905","behind_the",64
"906","united_states",71
"907","one_that",57
"908","i_knew",81
"909","up_for",116
"910","the_name",60
"911","have_an",74
"912","pick_up",53
"913","and_get",92
"914","sense_of",57
"915","makes_me",67
"916","of_which",54
"917","in_to",64
"918","of_other",37
"919","but_this",53
"920","so_you",56
"921","you_see",66
"922","you_a",97
"923","over_to",45
"924","they_do",62
"925","i_say",64
"926","her_and",40
"927","are_some",48
"928","all_my",68
"929","and_has",80
"930","could_not",58
"931","you_that",41
"932","the_us",41
"933","a_pretty",52
"934","and_of",44
"935","home_and",61
"936","looked_at",42
"937","my_blog",33
"938","have_some",60
"939","well_i",66
"940","about_that",73
"941","the_final",103
"942","few_days",53
"943","out_on",83
"944","that_were",55
"945","just_as",67
"946","are_all",50
"947","the_internet",54
"948","the_little",51
"949","in_any",45
"950","with_our",50
"951","at_me",50
"952","much_as",70
"953","and_our",38
"954","thanks_to",108
